ID,weiboID,commentUID,content,commentTime
277,47, 脆脆的藕丁07,犯我中华者，虽远必诛 ,7月12日 20:19 
278,47, 当时尚撞上艺术,国家面前没有个人利益，我们国家爱好和平当我们也不畏惧战争 ,7月12日 20:13 
279,47, 任大称,你可以说我自不量力-但是如果国家需要我-我会立刻去参军-不管我的体能达不达标-技术过不过硬-我身为一个中国人就是要为国家做事情-不管生也好-死也好-至少让他们知道我们中国人是有尊严的-我们都是有血性的中国人- ,7月12日 19:45 
280,48, peacefultime74804,作为公众人物就应该出来 ,7月12日 22:27 
281,48, Garrison朵朵,跟买不买东西没关系！ ,7月12日 21:22 
282,48, 助人为乐的土豆-585,回复@鹿小锦:有钱人不总喜欢买外国货吗？我家所有吃的用的都是自己国家的 ,7月12日 18:41 
283,48, 顾亚楦,这才是中国，一点都不能少。 ,7月12日 18:41 
284,48, 鹿小锦,回复@助人为乐的土豆-585:他们国家有什么可买的？没听说过 ,7月12日 18:30 
285,48, 蝶蝶y8f,中国加油 ,7月12日 18:27 
286,48, 助人为乐的土豆-585,明星明人请你们这些有钱人以后都不要去买他们国家的东西了 ,7月12日 18:24 
287,49, 傻瓜2号号,你冰和心如被渣浪空降热搜，这几天很敏感。希望工作室抓紧处理。 ,7月12日 21:28 
288,49, 用户5936670584,我 ,7月14日 07:32 
289,49, 冰晨相爱滴狠,回复@豹小子2090:我错了，错把他当成真爱粉，既然他不是真爱粉，我们也无需理会他 ,7月13日 01:20 
290,49, 冉紫琦,姐 冰冰在干嘛呀？ ,7月13日 01:07 
291,49, 豹小子2090,回复@贵妃_上川菜儿:回家自慰去吧，别在这找存在，贱货 ,7月13日 00:33 
292,49, 贵妃_上川菜儿,回复@豹小子2090:傻逼，新浪是你家开的？脑残掉了嘛？劳资说我的，是那个傻逼玩意自己把碧莲凑上来的？ ,7月13日 00:21 
293,49, 贵妃_上川菜儿,回复@冰晨相爱滴狠:冰邦的素质轮不到牛粪教。 ,7月13日 00:19 
294,49, 豹小子2090,回复@冰晨相爱滴狠:它就嘴长在肛门上，对它不能象对待人，只配着骂 ,7月13日 00:14 
295,49, 冰晨相爱滴狠,回复@贵妃_上川菜儿:如果真爱冰冰，请注意自身素质，也更要尊重她的选择，不管是爱人还是她的左膀右臂，爱冰冰的前提不就是相信冰冰吗，我相信你爱冰冰，所以提醒你，冰邦的素质代表着冰冰形象， ,7月13日 00:12 
296,49, 豹小子2090,回复@贵妃_上川菜儿:贱人，要叽歪回家拉屎去，别在这喷粪 ,7月13日 00:09 
297,50, 板刷在篱笆的马甲,好！//@朱德泉: //@范冰冰:这才是中国，一点都不能少。 ,7月16日 21:11 
298,50, 求助者马蜀蓉,这才是中国，一点都不能少//@朱德泉:  //@范冰冰:这才是中国，一点都不能少。 ,7月13日 00:07 
299,50, 南洋修士,菲佣越猴，反受美夷倭寇唆使，对峙天朝，抗拒圣化。占吾岛礁，掳吾渔民。圣人在世亦不可忍！今我水师集结，云帆蔽空。艨艟巨舰，破浪前行。王师一到，玉石俱焚！《人民日报》已刊文,7月12日 22:24 
300,50, 珍惜时光8,//@朱德泉: //@范冰冰:这才是中国，一点都不能少。 ,7月12日 22:16 
301,50, 很大一堆石头,还有越南的两段，一共十一段线 ,7月12日 21:17 
302,50, 光荣的岁月2011,//@朱德泉: //@范冰冰:这才是中国，一点都不能少。 ,7月12日 20:38 
303,50, 孤独的卫道士,冰冰三观正 ,7月12日 20:27 
304,50, 怀念艾老师的秦州湖哥,//@朱德泉: //@范冰冰:这才是中国，一点都不能少。 ,7月12日 20:13 
305,50, 板刷在篱笆的马甲,好！//@朱德泉: //@范冰冰:这才是中国，一点都不能少。 ,7月12日 20:09 
306,50, 北风之呻吟,不是九段线吗，这里为什么画的是十段！ ,7月12日 20:05 
307,51, Silvia昕然神起,我越来越确定这个号是某人自己在管 ,7月12日 20:23 
308,51, Sunshine-IUV,一点也不能少！！！ ,7月12日 20:19 
309,51, 黄景瑜我就喜欢你,我爱你我爱你我爱你中国，我爱你黄景瑜！！！@Johnny黄景瑜 @黄景瑜工作室2016 ,7月12日 20:19 
310,51, 瑜我-,#中国一点都不能少#  //@黄景瑜工作室2016: //@Johnny黄景瑜: ,7月12日 20:19 
311,51, small糯糯,美国每回打着国际惯例，国际规章的幌子在背后搞这些事真是搞笑生怕别人不知道他怕我大中华 ,7月12日 20:19 
312,51, hmzajmsvyh虎牙大sa子,自己转自己的好玩吗哥哥 ,7月12日 20:19 
313,51, 最好的终会到来,#中国一点都不能少#??//@黄景瑜工作室2016: //@Johnny黄景瑜: ,7月12日 20:42 
314,51, nice_854,?? ?? ????? ??? ?? ???..?? ???????? ,7月13日 19:43 
315,51, XXX鲸XXX, //@黄景瑜工作室2016: //@Johnny黄景瑜: ,7月12日 20:37 
316,51, FFFwhat,#中国一点也不能少#//@黄景瑜工作室2016: //@Johnny黄景瑜: ,7月12日 20:45 
317,52, Johhny黄景喻,@Johnny黄景瑜 //@放逐遗失: //@Johnny黄景瑜: ,7月16日 13:54 
318,52, 黄景瑜什么时候更博2,正能量偶像 //@放逐遗失: //@Johnny黄景瑜: ,7月16日 16:31 
319,52, Johhny黄景喻,@Johnny黄景瑜 //@放逐遗失: //@Johnny黄景瑜: ,7月16日 13:54 
320,52, Johhny黄景喻,@Johnny黄景瑜 //@放逐遗失: //@Johnny黄景瑜: ,7月16日 13:54 
