ID,weiboID,userID,fatherWeiboID,rootWeiboID,content,repostTime
255,75,光明植物活力,6,1,中国的领土主权和海洋权益，不需要别人仲裁！我们不接受！不参与！不承认！#中国一点都不能少#！植物活力对待活菌的严谨态度犹如中国对南海的严肃立场——300亿活菌一个也不能少！ //@王凯kkw: 一点都不能少！,2016-07-13 11:08
256,76,kkw-wk,6,1,我们家领土虽然大，但没有一寸是多余的 //@王凯kkw:一点都不能少！,2016-07-12 21:48
257,77,TotoYogurt,6,1,一块刺身一碗鱼头汤一个炸鱼尾巴都不给他们?? //@王凯kkw:一点都不能少！,2016-07-12 21:48
258,78,AUGUSTEIGHTEEN_818,6,1,一点都不能少 //@王凯kkw:一点都不能少！,2016-07-12 21:49
259,79,王凯欧洲粉丝群,6,1,#中国一点都不能少# 正是这样的中国，才能让我们即使远在异国他乡也能够堂堂正正地作为一个中国人努力生活，这样的中国#一点都不能少#??//@王凯kkw:一点都不能少！,2016-07-12 22:08
260,80,Zhang婧希,6,1,//@王凯kkw:一点都不能少！,2016-08-18 18:30
261,81,木木云在青天,6,1,//@王凯kkw:一点都不能少！,2016-08-18 17:37
262,82,在青岛等你来找我,6,1,//@王凯kkw:一点都不能少！,2016-08-18 00:10
263,83,梦想家窈烨风姿,6,1,一點都不能少、//@王凯kkw:一点都不能少！,2016-08-17 14:16
264,84,现在下雨了哦,6,1,#王凯kkw# #陪王凯细水长流见面会# #王凯0818生日快乐##王凯欢享月#??爱你@王凯kkw//@王凯kkw: 一点都不能少！,2016-08-16 00:28
265,85,刘思童0426,6,1,最喜欢这种爱国的明星 //@王凯kkw:一点都不能少！,2016-08-15 21:12
266,86,Dear迪丽热巴后援会,7,1,#中国一点都不能少# 中国领土，寸土不让！//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-07-12 21:38
267,87,粽子围剿冷巴驻热巴总区总司令,7,1,爱国迪上线。中国一点都不能少！ //@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-07-12 21:36
268,88,疯疯疯疯疯娇,7,1,对！一点都不让！//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-07-12 21:38
269,89,麦胖子巴巴,7,1,//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-07-12 21:34
270,90,奶味老干妈,7,1,就冲那美味的海鲜，你能让吗 //@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-07-12 22:21
271,91,Everything帅迪你敢上我吗,7,1,鱼干都不给一条//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-07-12 21:45
272,92,D-天才在左疯子在右,7,1,一寸不让//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-07-12 21:32
273,93,Daping要为迪丽热巴盖城堡,7,1,南海是中国的！一点都不能少！一寸都不会让！//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-07-12 21:53
274,94,berry-lover199412,7,1,一滴水都不行//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-07-12 21:34
275,95,mj17299,7,1,转发微博,2016-07-13 23:32
276,96,茜唯love欣基girl,7,1,噗嗤耶//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-08-19 12:20
277,97,用户6003538731,7,1,//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-08-19 07:42
278,98,花圣11,7,1,//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-08-19 02:06
279,99,鹿honey灬莪只爱你,7,1,棒棒哒//@Dear-迪丽热巴:中国，一点都不能少，一寸都不会让。,2016-08-18 21:46
280,100,-叁木Sanmu-,8,1,//@黄渤: 这才是中国，一点都不能少。,2016-07-12 19:53
281,101,黄渤官影会,8,1,中国一点都不能少 //@黄渤:这才是中国，一点都不能少。,2016-07-12 21:44
282,102,微信投票刷票,8,1,//@黄渤: 这才是中国，一点都不能少。,2016-07-27 07:47
283,103,吴靖萱,8,1,一个都不能少！！！ //@黄渤:这才是中国，一点都不能少。,2016-07-14 21:17
284,104,喜欢喜欢超喜欢x,8,1,#中国一点都不能少#??//@黄渤:这才是中国，一点都不能少。,2016-07-12 19:50
285,105,黄渤百度贴吧,8,1,一点都不！//@黄渤:这才是中国，一点都不能少。,2016-07-12 20:09
286,106,本名是龙,8,1,这才是中国，一点都不能少。,2016-07-18 22:37
287,107,静意茹桐,8,1,//@黄渤:这才是中国，一点都不能少。,2016-07-12 23:31
288,108,許爾世愛戀,8,1,//@黄渤:这才是中国，一点都不能少。,2016-07-12 22:27
289,109,请叫我TwoTwo,8,1,这才是中国，一点都不能少。,2016-07-12 20:03
290,110,用户6004981539,8,1,//@用户6004981539:一点都不能少。,2016-08-19 12:47
291,111,用户6004981539,8,1,一点都不能少。,2016-08-19 12:41
292,112,MC-寒小东,8,1,我发现宝强跟黄渤长得一样,2016-08-19 12:34
293,113,莫竹菲033,8,1,//@黄渤:这才是中国，一点都不能少。,2016-08-19 11:47
294,114,江湖人称许四哥,8,1, ?查看图片 //@黄渤: 这才是中国，一点都不能少。,2016-08-19 11:11
295,115,挑战者联盟,9,1,#挑战者联盟#//@李晨: ,2016-07-12 16:22
296,116,约吧大明星,9,1,一点都不能少//@李晨: ,2016-07-12 19:46
297,117,李晨工作室,9,1, //@李晨:,2016-07-12 20:22
298,118,乐视娱乐,9,1,中国//@李晨: ,2016-07-12 16:25
299,119,认真萌陈陈,9,1, //@李晨:,2016-07-12 16:09
300,120,冰冰晨报官博,9,1,#中国一点都不能少#  //@李晨:,2016-07-12 16:10
301,121,李晨论坛晨光迷影,9,1,//@李晨: ,2016-07-12 17:04
302,122,京环之声,9,1, //@李晨:,2016-07-12 17:16
303,123,要你命三千丶,9,1,//@李晨:,2016-07-13 12:15
304,124,手机用户2621450661,9,1,爱中国,2016-07-12 23:20
305,125,细雨绵绵_26361,9,1,O王宝强离婚声明一发，吉林一哥们实在憋不住了 //@细雨绵绵_26361://@李晨:,2016-08-16 10:25
306,126,郭嘉庆义,9,1,转发微博,2016-08-15 20:39
307,127,陶昕然,10,1,#中国一点都不能少#??//@馬天宇:#中国一点都不能少#,2016-07-12 19:05
308,128,马天宇微博搬砖队,10,1,#中国一点都不能少#??//@馬天宇:#中国一点都不能少#__,2016-07-12 18:00
309,129,放开我北鼻,10,1,#中国一点都不能少# //@馬天宇:#中国一点都不能少#,2016-07-12 18:37
310,130,马天宇-宇你同行驿站,10,1,#中国一点都不能少# 这就是我们所有人的态度。 //@馬天宇:#中国一点都不能少#,2016-07-12 17:57
311,131,马天宇全球后援会,10,1,#中国一点都不能少# //@馬天宇:#中国一点都不能少#,2016-07-12 18:45
312,132,马天宇微博后援会,10,1,#中国一点都不能少#??//@馬天宇:#中国一点都不能少#,2016-07-12 17:54
313,133,髙巍_,10,1,#中国一点都不能少#//@馬天宇:#中国一点都不能少#,2016-07-12 18:11
314,134,雨梦中的晴天,10,1,#中国一点也不能少##南海是中国的#一滴水也不给//@馬天宇:#中国一点都不能少#,2016-07-12 18:20
315,135,坚强的馬天羽,10,1,#中国一点都不能少#//@馬天宇:#中国一点都不能少#,2016-07-12 18:01
316,136,Botija,10,1, //@专注拉郎三百年://@馬天宇: #中国一点都不能少#,2016-07-12 18:27
317,137,阿薇大人小宅女,10,1,//@馬天宇:#中国一点都不能少#,2016-08-18 16:07
318,138,毛呢不是真的,10,1,//@馬天宇:#中国一点都不能少#,2016-08-16 22:30
319,139,安琪諆,10,1,    坚决不//@馬天宇:#中国一点都不能少#,2016-08-16 11:49
320,140,许你一锅粥群博,11,1,寸土不可少//@许魏洲ZZ:一点也不能少！,2016-07-12 20:27
321,141,许魏洲粉丝后援会官博,11,1,#中国一点都不能少#??寸土不让，虽远必诛//@许魏洲ZZ:一点也不能少！,2016-07-12 19:01
322,142,深度病娇患者,11,1,#中国一点都不能少# 祖国南海寸土不让。犯我中华者，虽远必诛//@许魏洲ZZ:一点也不能少！,2016-07-12 19:54
323,143,许魏洲是小天使,11,1,一点也不能少！我是中国人！ 其次是白粥！ //@许魏洲ZZ:一点也不能少！,2016-07-12 19:12
324,144,许魏洲吧,11,1,#中国一点都不能少#  //@许魏洲ZZ:一点也不能少！,2016-07-12 19:02
325,145,一口大钢铁锅,11,1,中国，一点都不能少，一寸都不会让！ //@许魏洲ZZ:一点也不能少！,2016-07-12 19:02
326,146,中华套路王,11,1,一点也不能少！   //@许魏洲ZZ:一点也不能少！,2016-07-12 19:08
327,147,许家秦玖,11,1,虽远必诛！ //@许魏洲ZZ:一点也不能少！,2016-07-12 21:23
328,148,胡旭晨Chen,11,1,右边说的没毛病！你们说呢！ //@许魏洲ZZ:一点也不能少！,2016-07-12 19:26
329,149,张煜Xwz,11,1, //@许魏洲ZZ:一点也不能少！,2016-07-12 19:01
330,150,MikoFong_,11,1, //@许魏洲ZZ:一点也不能少！,2016-08-18 13:33
331,151,温矜与野,11,1, //@许魏洲ZZ:一点也不能少！,2016-08-18 11:20
332,152,我就是爱许魏洲呀,11,1,#许魏洲# #何其有幸遇见许魏洲# 就这样看你 用所有眼睛和所有距离 心又被撩起 也满心空欢喜 就像风住了 风又起//@许魏洲ZZ:一点也不能少！,2016-08-18 08:11
333,153,喂他喝粥,11,1,//@许魏洲ZZ:一点也不能少！,2016-08-17 20:37
334,154,喂他喝粥,11,1,//@许魏洲ZZ:一点也不能少！,2016-08-17 20:36
335,155,点次画,11,1, //@许魏洲ZZ:一点也不能少！,2016-08-17 18:36
336,156,小牛_牛牛,11,1,//@许魏洲ZZ:一点也不能少！,2016-08-17 08:21
337,157,图图19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:43
338,158,小萌不发财天理难容,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:43
339,159,喵喵19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:43
340,160,贝贝19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:43
341,161,梦梦19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:43
342,162,yiyi19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:43
343,163,图图19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:38
344,164,梦梦19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:38
345,165,喵喵19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:38
346,166,yiyi19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:38
347,167,小萌不发财天理难容,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:38
348,168,贝贝19820920,33,1,//@萌猫图图: 支持 //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-19 16:38
349,169,邓春夏13,34,1,//@你们不发财天理难容: #胡歌# #胡歌猎场# #应无所住# #被胡歌打脸# #胡歌长江源环保公益行# #电视剧猎场# #胡歌益起来# @胡歌??//@胡歌数据组:#中国一点都不能少# //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-18 15:40
350,170,邓春夏14,34,1,//@你们不发财天理难容: #胡歌# #胡歌猎场# #应无所住# #被胡歌打脸# #胡歌长江源环保公益行# #电视剧猎场# #胡歌益起来# @胡歌??//@胡歌数据组:#中国一点都不能少# //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-18 15:40
351,171,移动客户2287941885,34,1,//@你们不发财天理难容: #胡歌# #胡歌猎场# #应无所住# #被胡歌打脸# #胡歌长江源环保公益行# #电视剧猎场# #胡歌益起来# @胡歌??//@胡歌数据组:#中国一点都不能少# //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-18 15:40
352,172,邓春夏14,34,1,//@你们不发财天理难容: #胡歌# #胡歌猎场# #应无所住# #被胡歌打脸# #胡歌长江源环保公益行# #电视剧猎场# #胡歌益起来# @胡歌??//@胡歌数据组:#中国一点都不能少# //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-18 15:35
353,173,邓春夏13,34,1,//@你们不发财天理难容: #胡歌# #胡歌猎场# #应无所住# #被胡歌打脸# #胡歌长江源环保公益行# #电视剧猎场# #胡歌益起来# @胡歌??//@胡歌数据组:#中国一点都不能少# //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-18 15:35
354,174,移动客户2287941885,34,1,//@你们不发财天理难容: #胡歌# #胡歌猎场# #应无所住# #被胡歌打脸# #胡歌长江源环保公益行# #电视剧猎场# #胡歌益起来# @胡歌??//@胡歌数据组:#中国一点都不能少# //@胡歌:“有国才有家” 一点不少！ 寸土不让！,2016-07-18 15:35
